domain,cname_target,provider,has_a_record
bingads.microsoft.com,azure.bingads.trafficmanager.net.,trafficmanager.net,True
apprep.smartscreen.microsoft.com,prod-atm-wds-apprep.trafficmanager.net.,trafficmanager.net,True
w.apprep.smartscreen.microsoft.com,prod-atm-wds-apprep.trafficmanager.net.,trafficmanager.net,True
cmt3.research.microsoft.com,msrcmt.trafficmanager.net.,trafficmanager.net,True
i.manage.microsoft.com,manage-pe.trafficmanager.net.,trafficmanager.net,True
api.si.bingads.microsoft.com,api-si-bingads.trafficmanager.net.,trafficmanager.net,True
activation-v2.ppe.sls.microsoft.com,activation-v2.ppe.sls.trafficmanager.net.,trafficmanager.net,True
p.manage.microsoft.com,manage-pe.trafficmanager.net.,trafficmanager.net,True
si.pubcenter.microsoft.com,si.pubcenter.trafficmanager.net.,trafficmanager.net,True
activation-v2.sls.microsoft.com,activation-v2.sls.trafficmanager.net.,trafficmanager.net,True
royalty.microsoft.com,prodstatementportalpartnerui.trafficmanager.net.,trafficmanager.net,True
MSPACSR.Microsoft.com,mspacsr.trafficmanager.net.,trafficmanager.net,False
ducky.github.com,github.github.io.,github.io,True
mbs.microsoft.com,mbs.trafficmanager.net.,trafficmanager.net,True
aprt.partners.extranet.microsoft.com,aprt.trafficmanager.net.,trafficmanager.net,True
invoice.microsoft.com,invoice-ui-prod.trafficmanager.net.,trafficmanager.net,True
a.manage-beta.microsoft.com,manage-betamtls.trafficmanager.net.,trafficmanager.net,True
r.manage.microsoft.com,manage-pe.trafficmanager.net.,trafficmanager.net,True
urs.microsoft.com,prod-atm-wds-urs.trafficmanager.net.,trafficmanager.net,True
ieonlinews.microsoft.com,ieonlinews.trafficmanager.net.,trafficmanager.net,False
vpn-ca.iad.github.com,github.github.io.,github.io,False
merchantcenter.bingads.microsoft.com,bmcux.trafficmanager.net.,trafficmanager.net,False
test.social.msdn.microsoft.com,profile-test-web.cloudapp.net.,cloudapp.net,False
spynetppe.microsoft.com,wd-ppe-cp-us.trafficmanager.net.,trafficmanager.net,True
bug-bash.github.com,github.github.io.,github.io,True
admin.manage-beta.microsoft.com,admin.manage-beta.trafficmanager.net.,trafficmanager.net,True
edsfm.partners.extranet.microsoft.com,edsfm-partners-extranet-gtm.trafficmanager.net.,trafficmanager.net,False
activateuat.microsoft.com,rdslmuatfe.trafficmanager.net.,trafficmanager.net,True
testconnectivity.microsoft.com,testconnectivity.trafficmanager.net.,trafficmanager.net,True
manage-beta.microsoft.com,manage-beta.trafficmanager.net.,trafficmanager.net,True
